""	"x"
"603"	"Entamoeba dispar SAW760"
"604"	"Entamoeba histolytica HM-1:IMSS"
"605"	"Entamoeba histolytica HM-1:IMSS-A"
"606"	"Entamoeba histolytica HM-1:IMSS-B"
"607"	"Entamoeba histolytica HM-3:IMSS"
"608"	"Entamoeba histolytica KU27"
"609"	"Entamoeba invadens IP1"
"610"	"Entamoeba nuttalli P19"
"611"	"Chromera velia CCMP2878"
"612"	"Cryptosporidium hominis TU502"
"613"	"Cryptosporidium muris RN66"
"614"	"Cryptosporidium parvum Iowa II"
"615"	"Vitrella brassicaformis CCMP3155"
"616"	"Albugo candida 2VRR"
"617"	"Albugo laibachii Nc14"
"618"	"Allomyces macrogynus ATCC 38327"
"619"	"Aspergillus aculeatus ATCC 16872"
"620"	"Aspergillus brasiliensis CBS 101740"
"621"	"Aspergillus campestris IBT 28561"
"622"	"Aspergillus carbonarius ITEM 5010"
"623"	"Aspergillus clavatus NRRL 1"
"624"	"Aspergillus fischeri NRRL 181"
"625"	"Aspergillus flavus NRRL3357"
"626"	"Aspergillus fumigatus A1163"
"627"	"Aspergillus glaucus CBS 516.65"
"628"	"Aspergillus luchuensis CBS 106.47"
"629"	"Aspergillus nidulans FGSC A4"
"630"	"Aspergillus niger ATCC 1015"
"631"	"Aspergillus niger CBS 513.88"
"632"	"Aspergillus novofumigatus IBT 16806"
"633"	"Aspergillus ochraceoroseus IBT 24754"
"634"	"Aspergillus oryzae RIB40"
"635"	"Aspergillus steynii IBT 23096"
"636"	"Aspergillus sydowii CBS 593.65"
"637"	"Aspergillus terreus NIH2624"
"638"	"Aspergillus tubingensis CBS 134.48"
"639"	"Aspergillus versicolor CBS 583.65"
"640"	"Aspergillus wentii DTO 134E9"
"641"	"Batrachochytrium dendrobatidis JEL423"
"642"	"Botrytis cinerea B05.10"
"643"	"Candida albicans SC5314"
"644"	"Candida albicans WO-1"
"645"	"Candida glabrata CBS 138"
"646"	"Candida parapsilosis CDC317"
"647"	"Clavispora lusitaniae ATCC 42720"
"648"	"Coccidioides immitis H538.4"
"649"	"Coccidioides immitis RS"
"650"	"Coccidioides posadasii C735 delta SOWgp"
"651"	"Coccidioides posadasii RMSCC 3488"
"652"	"Coccidioides posadasii str. Silveira"
"653"	"Cryptococcus gattii CA1873"
"654"	"Cryptococcus gattii EJB2"
"655"	"Cryptococcus gattii NT-10"
"656"	"Cryptococcus gattii VGIV IND107"
"657"	"Cryptococcus gattii WM276"
"658"	"Cryptococcus neoformans var. grubii H99"
"659"	"Cryptococcus neoformans var. neoformans B-3501A"
"660"	"Cryptococcus neoformans var. neoformans JEC21"
"661"	"Fusarium fujikuroi IMI 58289"
"662"	"Fusarium graminearum PH-1"
"663"	"Fusarium oxysporum Fo47"
"664"	"Fusarium oxysporum f. sp. cubense race 1"
"665"	"Fusarium oxysporum f. sp. cubense race 4"
"666"	"Fusarium oxysporum f. sp. cubense tropical race 4 54006"
"667"	"Fusarium oxysporum f. sp. lycopersici 4287"
"668"	"Fusarium oxysporum f. sp. melonis 26406"
"669"	"Fusarium proliferatum ET1"
"670"	"Fusarium verticillioides 7600"
"671"	"Histoplasma capsulatum G186AR"
"672"	"Histoplasma capsulatum G217B"
"673"	"Histoplasma capsulatum H143"
"674"	"Histoplasma capsulatum H88"
"675"	"Histoplasma capsulatum NAm1"
"676"	"Hyaloperonospora arabidopsidis Emoy2"
"677"	"Kwoniella bestiolae CBS 10118"
"678"	"Kwoniella dejecticola CBS 10117"
"679"	"Malassezia globosa CBS 7966"
"680"	"Melampsora larici-populina 98AG31"
"681"	"Mucor circinelloides f. lusitanicus CBS 277.49"
"682"	"Neurospora crassa OR74A"
"683"	"Neurospora discreta FGSC 8579"
"684"	"Neurospora tetrasperma FGSC 2508"
"685"	"Paracoccidioides brasiliensis Pb03"
"686"	"Paracoccidioides brasiliensis Pb18"
"687"	"Paracoccidioides lutzii Pb01"
"688"	"Penicillium rubens Wisconsin 54-1255"
"689"	"Phanerochaete chrysosporium RP-78"
"690"	"Phycomyces blakesleeanus NRRL 1555(-)"
"691"	"Phytophthora capsici LT1534"
"692"	"Phytophthora cinnamomi var. cinnamomi CBS 144.22"
"693"	"Phytophthora infestans T30-4"
"694"	"Phytophthora parasitica INRA-310"
"695"	"Pneumocystis jirovecii SE8"
"696"	"Puccinia graminis f. sp. tritici CRL 75-36-700-3"
"697"	"Pythium aphanidermatum DAOM BR444"
"698"	"Pythium arrhenomanes ATCC 12531"
"699"	"Pythium irregulare DAOM BR486"
"700"	"Pythium iwayamai DAOM BR242034"
"701"	"Rhizopus delemar RA 99-880"
"702"	"Saprolegnia diclina VS20"
"703"	"Saprolegnia parasitica CBS 223.65"
"704"	"Schizosaccharomyces japonicus yFS275"
"705"	"Schizosaccharomyces octosporus yFS286"
"706"	"Schizosaccharomyces pombe 972h-"
"707"	"Sclerotinia sclerotiorum 1980 UF-70"
"708"	"Sordaria macrospora k-hell"
"709"	"Spizellomyces punctatus DAOM BR117"
"710"	"Sporisorium reilianum SRZ2"
"711"	"Sporothrix brasiliensis 5110"
"712"	"Sporothrix schenckii 1099-18"
"713"	"Talaromyces marneffei ATCC 18224"
"714"	"Talaromyces stipitatus ATCC 10500"
"715"	"Tremella mesenterica DSM 1558"
"716"	"Trichoderma reesei QM6a"
"717"	"Uncinocarpus reesii 1704"
"718"	"Ustilago maydis 521"
"719"	"Yarrowia lipolytica CLIB122"
"720"	"Zymoseptoria tritici IPO323"
"721"	"Penicilliopsis zonata CBS 506.65"
"722"	"Cryptococcus gattii VGII R265"
"723"	"Fusarium sp. FOSC 3-a"
"724"	"Fusarium proliferatum"
"725"	"Lomentospora prolificans"
"726"	"Pyricularia oryzae 70-15"
"727"	"Globisporangium ultimum DAOM BR144"
"728"	"Globisporangium ultimum var. sporangiiferum BR650"
"729"	"Phytopythium vexans DAOM BR484"
"730"	"Saccharomyces cerevisiae S288C"
"731"	"Scedosporium apiospermum"
"732"	"Giardia intestinalis ATCC 50803"
"733"	"Giardia intestinalis ATCC 50581"
"734"	"Giardia lamblia P15"
"735"	"Amphiamblys sp. WSBS2006"
"736"	"Anncaliia algerae PRA109"
"737"	"Anncaliia algerae PRA339"
"738"	"Edhazardia aedis USNM 41457"
"739"	"Encephalitozoon cuniculi EC1"
"740"	"Encephalitozoon cuniculi EC2"
"741"	"Encephalitozoon cuniculi EC3"
"742"	"Encephalitozoon cuniculi EcunIII-L"
"743"	"Encephalitozoon cuniculi GB-M1"
"744"	"Encephalitozoon hellem ATCC 50504"
"745"	"Encephalitozoon intestinalis ATCC 50506"
"746"	"Encephalitozoon romaleae SJ-2008"
"747"	"Enterocytozoon bieneusi H348"
"748"	"Nematocida parisii ERTm1"
"749"	"Nematocida parisii ERTm3"
"750"	"Nosema bombycis CQ1"
"751"	"Nosema ceranae BRL01"
"752"	"Ordospora colligata OC4"
"753"	"Spraguea lophii 42_110"
"754"	"Vavraia culicis subsp. floridensis"
"755"	"Vittaforma corneae ATCC 50505"
"756"	"Babesia bovis T2Bo"
"757"	"Babesia microti strain RI"
"758"	"Theileria annulata strain Ankara"
"759"	"Theileria equi strain WA"
"760"	"Theileria orientalis strain Shintoku"
"761"	"Theileria parva strain Muguga"
"762"	"Babesia divergens"
"763"	"Plasmodium berghei ANKA"
"764"	"Plasmodium chabaudi chabaudi"
"765"	"Plasmodium cynomolgi strain B"
"766"	"Plasmodium cynomolgi strain M"
"767"	"Plasmodium falciparum 3D7"
"768"	"Plasmodium falciparum 7G8"
"769"	"Plasmodium falciparum Dd2"
