"logFC"	"logCPM"	"PValue"	"FDR"
"Zm00001eb319250"	-3.91855381506632	-0.60211377154083	0.000121882943927511	0.0113150542471584
"Zm00001eb106390"	-7.28188307719633	-1.23694809231005	0.00012207925908495	0.0113150542471584
"Zm00001eb360460"	-7.28188307719633	-1.23694809231005	0.00012207925908495	0.0113150542471584
"Zm00001eb243860"	-7.28188307719633	-1.23694809231005	0.00012207925908495	0.0113150542471584
"Zm00001eb243120"	7.23569671594587	-1.1711226416403	0.00012207925908495	0.0113150542471584
"Zm00001eb163860"	-2.05923766636339	6.49850984668723	0.000122990169457942	0.011358030340196
"Zm00001eb071700"	-2.94340490640993	-0.0131843083852786	0.000125385075579657	0.0114955934275126
"Zm00001eb005570"	-2.94340490640993	-0.0131843083852786	0.000125385075579657	0.0114955934275126
"Zm00001eb318020"	2.0662260506027	5.21441841505981	0.000131208226559065	0.0119862018765971
"Zm00001eb300360"	2.07381715461227	4.7344135044153	0.000133763463730577	0.0121758312720492
"Zm00001eb337600"	-2.04134054087154	7.72216427200997	0.000135111619251857	0.0122546238661434
"Zm00001eb333200"	-2.85944614791003	0.123002158077604	0.000137160619150878	0.0123961960283121
"Zm00001eb415720"	2.26928785049327	1.91442653319154	0.000140331912673844	0.0126378342349821
"Zm00001eb299540"	-2.37586247396313	1.3012767983788	0.000142934302001976	0.0128267121330112
